symbol,NiftyMidcap150,NiftyMidcap400,Nifty500,NiftySmallcap50,NiftySmallcap250,NiftyMidcap50,Nifty200,NiftyNext50,Nifty100,Nifty50
VALIANTORG,False,True,True,False,True,False,False,False,False,False
VARROC,False,True,True,False,True,False,False,False,False,False
VBL,True,True,True,False,False,False,True,False,False,False
VEDL,False,False,True,False,False,False,True,True,True,False
VENKEYS,False,True,True,False,True,False,False,False,False,False
VGUARD,False,True,True,False,True,False,False,False,False,False
VINATIORGA,True,True,True,False,False,False,False,False,False,False
VIPIND,False,True,True,False,True,False,False,False,False,False
VMART,False,True,True,False,True,False,False,False,False,False
VOLTAS,True,True,True,False,False,True,True,False,False,False
VTL,False,True,True,False,True,False,False,False,False,False
WABCOINDIA,True,True,True,False,False,False,False,False,False,False
WELCORP,False,True,True,False,True,False,False,False,False,False
WELSPUNIND,False,True,True,True,True,False,False,False,False,False
WESTLIFE,False,True,True,False,True,False,False,False,False,False
WHIRLPOOL,True,True,True,False,False,False,True,False,False,False
WIPRO,False,False,True,False,False,False,True,False,True,True
